product_name,brand,series,cpu,ram,storage,gpu,screen,refresh_rate,os,color_from_title,price,link
Lenovo LOQ 15IAX9 Gaming Laptop,Lenovo,LOQ,Intel Core i5 12450HX,12GB RAM,512GB SSD,RTX 2050 4GB,"15.6""",144Hz,Win11,Luna Grey,"33,499",https://www.amazon.eg/-/en/Lenovo-15IAX9-Gaming-12450HX-Warranty/dp/B0G1Z9NSX7/ref=sr_1_1?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-1
Lenovo Legion 5 15IRX10 Gaming Laptop Intel Core i7-13650HX,Lenovo,Legion,Intel Core i7-13650HX,16GB RAM,1TB SSD,RTX 5060 8GB,,165Hz,DOS,,"80,399",https://www.amazon.eg/-/en/Lenovo-15IRX10-i7-13650HX-15-1-inch-Premium/dp/B0G3KDK4FC/ref=sr_1_2?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-2
Lenovo LOQ 15IAX9 Gaming Laptop,Lenovo,LOQ,Intel Core i5 12600HX,16GB RAM,512GB SSD,RTX 3050 6GB,"15.6""",144Hz,Win11,Grey,"40,399",https://www.amazon.eg/-/en/Lenovo-15IAX9-Gaming-12600HX-Warranty/dp/B0G3K8RDTM/ref=sr_1_3?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-3
Lenovo LOQ 15AHP10,Lenovo,LOQ,Ryzen™ 7 250,16GB RAM,512GB SSD,RTX 5060 8GB,"15.6""",144Hz,DOS,Luna Grey,"59,999",https://www.amazon.eg/-/en/Lenovo-15AHP10-RyzenTM-Warranty-83JG0095ED/dp/B0G1ZJQ1L4/ref=sr_1_4?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-4
ASUS TUF F16 [FX607VJB-RL165W] Intel Core 5-210H /16GB DDR5 /512GB SSD/RTX 3050 6GB DDR6 /FHD+ 144Hz /Win 11,ASUS,TUF,Core 5-210H,16GB DDR5,512GB SSD,RTX 3050 6GB,,144Hz,Win 11,,"46,051",https://www.amazon.eg/-/en/ASUS-FX607VJB-RL165W-Intel-5-210H-512GB/dp/B0G42QP7MC/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-5
GIGABYTE GAMING A16 CWH Gaming Notebook,GIGABYTE,,Intel Core i7-13620H,16GB DDR5,1TB SSD,GeForce RTX 5050,"16""",165Hz,Free DOS,,"54,999",https://www.amazon.eg/-/en/GIGABYTE-GAMING-Gaming-Notebook-FullHD/dp/B0FQCWF9JN/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-6
Lenovo LOQ 15IRX9 Gaming Laptop - 13th Intel Core i7-13650HX,Lenovo,LOQ,Intel Core i7-13650HX,16GB DDR5,512GB SSD,RTX 3050 6GB,"15.6""",144Hz,,,"50,269",https://www.amazon.eg/-/en/Lenovo-LOQ-15IRX9-Gaming-Laptop/dp/B0DC926Y7J/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-7
Lenovo LOQ 15AHP10 Gaming Laptop,Lenovo,LOQ,Ryzen™ 7 250,16GB RAM,512GB SSD,RTX 5050 8GB,"15.6""",144Hz,DOS,Luna Grey,"59,068",https://www.amazon.eg/-/en/Lenovo-15AHP10-Gaming-RyzenTM-Warranty/dp/B0G1ZFZNX2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-8
ASUS ROG Strix G16 [G614PH-RV161W] AMD Ryzen™ 9 8940HX /16GB DDR5 /1TB SSD/RTX 5050 8GB DDR7 /FHD+ 165Hz /Win 11,ASUS,ROG,Ryzen™ 9 8940HX,16GB DDR5,1TB SSD,RTX 5050 8GB,,165Hz,Win 11,,"85,299",https://www.amazon.eg/-/en/ASUS-Strix-G614PH-RV161W-RyzenTM-8940HX/dp/B0G42LSRS8/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-9
GIGABYTE - Gaming A16 Gaming Laptop - 165Hz 1920x1200 WUXGA - NVIDIA GeForce RTX 5060 - Intel i7-13620H - 1TB SSD with 16GB DDR5 RAM - Windows 11 Home AD Gaming A16 CVHI3US894SH,GIGABYTE,,Intel i7-13620H,16GB DDR5,1TB SSD,GeForce RTX 5060,,165Hz,Windows 11 Home,,"61,999",https://www.amazon.eg/-/en/GIGABYTE-1920x1200-GeForce-i7-13620H-CVHI3US894SH/dp/B0FDMN25CZ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FAk8Vzf_8CxjdaYjkmL8WuxAuC4fGHldH4RZr69CwjXZcrJDaIo9x7pbMKK7W8_quAT1ILOKVbtpKTohEvGfgZAa0mH3YUhuN_J0dKVVj88ReMda49YwyA8ADzfPKFdICG1QFP5rrZ5l_Qfggc_GCbx4rUXxfncXqLuG5h7rjBWvWh8r0SUzoUrWiGcBzB5-CjBopx3Cm0x_YFTqIWVth1zVaxb4ek6sVTvHLrvQvEKtREhyOaHWsAz04HLp_w28BItrq0Jwyt4czkyM6WP5zobZ4SYXDAV2zuHqvQAz5-s.8A9Rkvj59ySzPCfp38wmWtKJ32mZ_6JZvZAxp3Oi2bg&dib_tag=se&keywords=gaming+laptops&qid=1776099213&sr=8-10
